Enlace,datos
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507011245&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506235651&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506201711&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506195841&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506130152&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506085048&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506065121&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506053335&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506044655&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506025149&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506022517&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506014956&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506012743&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506010634&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506010527&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230506001131&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505234513&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505232919&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505232308&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505230954&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505225437&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505225109&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505224927&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505224702&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505223849&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505223701&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505223040&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505221255&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505221135&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505220703&lang=es,[]
