,Fecha detectado el terremoto,longitud,latitud,Magnitud,profundidad,lugar
110,2023/05/12 20:50,34.0N,134.2E,3.2,50km,Norte de Prefectura de Tokushima
111,2023/05/12 17:57,37.5N,137.3E,2.7,10km,"Región Noto, Prefectura de Ishikawa"
112,2023/05/12 17:40,37.5N,137.3E,3.2,10km,"Región Noto, Prefectura de Ishikawa"
113,2023/05/12 15:34,29.9N,130.1E,2.4,10km,Mares cercanos de Islas Tokara
114,2023/05/12 15:06,35.6N,139.3E,3.8,140km,Oeste de Prefectura de Kanagawa
115,2023/05/12 12:32,40.0N,140.5E,2.8,10km,Interior norte de Prefectura de Akita
116,2023/05/12 09:39,37.2N,140.1E,2.9,10km,"Nakadori, Prefectura de Fukushima"
117,2023/05/12 06:26,37.5N,137.3E,2.9,10km,"Región Noto, Prefectura de Ishikawa"
118,2023/05/12 05:50,37.5N,137.3E,2.4,10km,"Región Noto, Prefectura de Ishikawa"
119,2023/05/11 22:50,24.3N,125.2E,4.6,30km,Mares cercanos de Isla Miyako
120,2023/05/11 22:33,24.2N,125.2E,6.1,Poco profundo,Mares cercanos de Isla Miyako
121,2023/05/11 19:48,36.4N,138.1E,2.1,Poco profundo,Centro de Prefectura de Nagano
122,2023/05/11 19:41,35.9N,140.6E,3.8,40km,Nodeste de Prefectura de Chiba
123,2023/05/11 18:56,27.4N,128.7E,3.2,40km,Mares cercanos de Isla principal de Okinawa
124,2023/05/11 18:52,42.3N,143.0E,5.4,50km,Este de región Hidaka
125,2023/05/11 15:39,37.4N,137.3E,2.3,10km,Bahía de Toyama
126,2023/05/11 14:48,29.7N,129.8E,2.0,10km,Mares cercanos de Islas Tokara
127,2023/05/11 12:45,29.9N,130.0E,2.5,10km,Mares cercanos de Islas Tokara
128,2023/05/11 12:36,29.9N,130.0E,3.1,10km,Mares cercanos de Islas Tokara
129,2023/05/11 12:13,29.9N,130.0E,3.0,20km,Mares cercanos de Islas Tokara
130,2023/05/11 12:11,29.9N,130.0E,4.4,20km,Mares cercanos de Islas Tokara
131,2023/05/11 06:58,37.6N,137.2E,3.4,10km,Alta mar de Península de Noto
132,2023/05/11 04:16,35.2N,140.2E,5.4,40km,Sur de Prefectura de Chiba
133,2023/05/11 01:02,15.6S,174.6W,7.6,210km,Pacífico Meridional
134,2023/05/10 21:53,39.8N,141.9E,3.7,60km,Costa norte de Prefectura de Iwate
135,2023/05/10 21:54,37.6N,137.3E,5.1,10km,Alta mar de Península de Noto
136,2023/05/10 17:29,37.4N,137.3E,3.0,10km,Bahía de Toyama
137,2023/05/10 11:21,35.7N,140.0E,4.1,70km,Noroeste de Prefectura de Chiba
138,2023/05/10 07:14,37.6N,137.3E,5.0,10km,Alta mar de Península de Noto
139,2023/05/10 03:02,39.9N,142.3E,4.2,30km,Alta mar de Prefectura de Iwate
140,2023/05/10 02:59,37.5N,137.3E,3.4,10km,"Región Noto, Prefectura de Ishikawa"
141,2023/05/10 02:40,32.8N,130.9E,2.9,10km,"Región Kumamoto, Prefectura de Kumamoto"
142,2023/05/09 23:15,37.4N,137.3E,1.8,Poco profundo,Bahía de Toyama
143,2023/05/09 21:32,39.6N,142.1E,3.8,50km,Alta mar de Prefectura de Iwate
144,2023/05/09 13:22,40.9N,142.0E,3.7,60km,Alta mar este de Prefectura de Aomori
145,2023/05/09 11:05,37.6N,137.3E,4.3,10km,Alta mar de Península de Noto
146,2023/05/09 09:06,37.5N,137.3E,2.2,10km,"Región Noto, Prefectura de Ishikawa"
147,2023/05/09 05:16,37.5N,137.3E,4.3,10km,"Región Noto, Prefectura de Ishikawa"
148,2023/05/09 05:14,37.5N,137.3E,4.9,10km,"Región Noto, Prefectura de Ishikawa"
149,2023/05/09 02:40,26.4N,127.4E,3.4,50km,Mares cercanos de Isla principal de Okinawa
150,2023/05/09 02:15,37.5N,137.3E,2.9,10km,"Región Noto, Prefectura de Ishikawa"
151,2023/05/08 21:43,37.3N,141.1E,3.4,30km,Alta mar de Prefectura de Fukushima
152,2023/05/08 14:56,37.5N,137.3E,3.8,10km,"Región Noto, Prefectura de Ishikawa"
153,2023/05/08 12:16,37.6N,137.3E,3.1,10km,Alta mar de Península de Noto
